Stratum,DMCS,DMPD,PMCS,PMPD,PLCS,PLPD,CFCS,CFPD,NLCS,NLPD,NCCS,NCPD
1,1.363412417,1.483890858,1.213070119,1.559418014,1.124764463,1.40336457,1.204122974,1.614541483,1.473479048,1.583810702,1.434027562,1.333996172
2,1.375645642,1.402364692,1.204683643,1.535697629,1.086416546,1.400305667,1.20042233,1.590427363,1.47920608,1.566092289,1.434027562,1.333996172
3,1.387543701,1.320838526,1.196132025,1.511977243,1.124764495,1.40336457,1.196689881,1.566313243,1.484858571,1.548373876,1.434027562,1.333996172
4,1.37873857,1.340261066,1.208284466,1.547368578,1.122437696,1.406413319,1.192925076,1.542199124,1.484565678,1.512468661,1.434027562,1.333996172
5,1.380276813,1.309209252,1.220106092,1.582759914,1.121269604,1.407937694,1.189127349,1.518085004,1.484272587,1.476563446,1.423710784,1.417305467
6,1.381809627,1.278157439,1.218933786,1.579747555,1.120098363,1.409462069,1.202388207,1.513885293,1.44442798,1.264063821,1.423710784,1.417305467
7,1.378913947,1.256816896,1.217758308,1.576735196,1.117746361,1.412510818,1.20053442,1.501828233,1.48368581,1.404753016,1.423710784,1.417305467
9,1.37599883,1.235476353,1.222418841,1.591418504,1.115381552,1.415559568,1.211649529,1.485571463,1.474279872,1.453375045,1.423710784,1.417305467
10,1.374160746,1.242850536,1.22702989,1.606101813,1.11495697,1.363188773,1.215633242,1.463781438,1.481804485,1.364103779,1.423710784,1.417305467
12,1.370285188,1.225197084,1.180475216,1.520469683,1.110147054,1.360036138,1.207902116,1.488321152,1.472763053,1.419580019,1.423710784,1.417305467
14,1.366374733,1.207543632,1.218900595,1.574724218,1.105283271,1.356883503,1.219580745,1.441991412,1.471240917,1.385784993,1.423710784,1.417305467
16,1.361481508,1.193577272,1.214778163,1.559035421,1.095389175,1.350578233,1.204122085,1.491070841,1.460413987,1.407466206,1.423710784,1.417305467
17,1.361481508,1.193577272,1.200799827,1.535720976,1.095389175,1.350578233,1.22349269,1.420201387,1.494406372,1.568262173,1.423710784,1.417305467
18,1.359014064,1.186594092,1.210616225,1.543346623,1.095389175,1.350578233,1.225435528,1.409306374,1.494406372,1.568262173,1.423710784,1.417305467
19,1.356532522,1.179610912,1.220215637,1.55097227,1.095389175,1.350578233,1.227369713,1.398411361,1.494406372,1.568262173,1.423710784,1.417305467
20,1.356532521,1.17961091,1.220215637,1.55097227,1.095389175,1.350578233,1.227369713,1.398411361,1.494406372,1.568262173,1.423710784,1.417305467
